w1,threshold,alpha_l2,w2_no_l3,w2_l3,w3_l3,pearson_r,rmse,mae
0.35,0.65,0.4,0.65,0.26,0.39,0.3583,0.1317,0.0958
0.1,0.6,0.6,0.9,0.54,0.36,0.3577,0.1407,0.1074
0.5,0.6,0.4,0.5,0.2,0.3,0.3559,0.1341,0.0981
0.45,0.6,0.4,0.55,0.22,0.33,0.3552,0.1339,0.0969
0.2,0.6,0.5,0.8,0.4,0.4,0.3547,0.1369,0.1019
0.3,0.65,0.4,0.7,0.28,0.42,0.3544,0.132,0.0965
0.4,0.6,0.4,0.6,0.24,0.36,0.3535,0.134,0.0971
0.2,0.7,0.4,0.8,0.32,0.48,0.3527,0.1313,0.0987
0.1,0.65,0.5,0.9,0.45,0.45,0.3525,0.1354,0.1051
0.35,0.6,0.4,0.65,0.26,0.39,0.3508,0.1344,0.0975
0.15,0.6,0.5,0.85,0.425,0.425,0.3493,0.1386,0.1045
0.25,0.65,0.4,0.75,0.3,0.45,0.349,0.1326,0.0981
0.3,0.6,0.4,0.7,0.28,0.42,0.3472,0.1352,0.0983
0.1,0.6,0.5,0.9,0.45,0.45,0.3432,0.1406,0.1071
0.15,0.7,0.4,0.85,0.34,0.51,0.3428,0.1322,0.1008
0.25,0.6,0.4,0.75,0.3,0.45,0.3425,0.1363,0.1001
0.2,0.65,0.4,0.8,0.32,0.48,0.3421,0.1335,0.1
0.2,0.6,0.4,0.8,0.32,0.48,0.3369,0.1376,0.1021
0.15,0.65,0.4,0.85,0.34,0.51,0.3337,0.1347,0.1021
0.1,0.7,0.4,0.9,0.36,0.54,0.3309,0.1334,0.103
0.15,0.6,0.4,0.85,0.34,0.51,0.3304,0.1393,0.1044
0.1,0.65,0.4,0.9,0.36,0.54,0.3239,0.1362,0.1045
0.1,0.6,0.4,0.9,0.36,0.54,0.323,0.1412,0.1069
